t,x,y,z
0.0,1.0,1.0,1.0
0.02002002002002002,1.0491261215248837,1.5253236794634994,0.9731952840073521
0.04004004004004004,1.1878132454844765,2.0904019134793197,0.9619104522187121
0.06006006006006006,1.4111693585582918,2.741518795462089,0.973017539606594
0.08008008008008008,1.7234244525138052,3.522595347993542,1.0180484064290523
0.10010010010010009,2.136563557432644,4.478916428010444,1.1155352732811468
0.12012012012012012,2.6688201037198063,5.661479568292329,1.2953573170101762
0.14014014014014015,3.34452968978492,7.125914007496231,1.603355675354091
0.16016016016016016,4.194237330204137,8.931098706960482,2.109815508534989
0.18018018018018017,5.253684931660261,11.132272503721646,2.924142035148814
0.20020020020020018,6.560198549199815,13.763842410452881,4.206430676752408
0.22022022022022023,8.146252336275602,16.807108612633332,6.180362707665708
0.24024024024024024,10.025810565900148,20.13332019327649,9.134256686289316
0.2602602602602603,12.169416304177254,23.417540267588095,13.3808712535059
0.2802802802802803,14.469485244698404,26.060784157473858,19.132434259542784
0.3003003003003003,16.704840504934108,27.194228136291564,26.280136418921167
0.3203203203203203,18.526791384567456,25.891324500992525,34.11955634725603
0.34034034034034033,19.51517898150399,21.677173175172364,41.27789924454891
0.36036036036036034,19.323865848676675,15.070191512327332,46.196522361319246
0.38038038038038036,17.855603538923294,7.586021251559367,47.9452080921332
0.40040040040040037,15.348443750611823,0.9494107824575312,46.82114205945204
0.42042042042042044,12.253822348481451,-3.8746524332610495,43.96706425359075
0.44044044044044045,9.025524661240325,-6.82045800458803,40.557346055035076
0.46046046046046046,5.9925282368236505,-8.317779514422545,37.339110514598566
0.4804804804804805,3.332392874122724,-8.891098743137482,34.62203575098629
0.5005005005005005,1.104049796220652,-8.959619309739939,32.44610613520875
0.5205205205205206,-0.7083460525645949,-8.798934606609926,30.732731281987572
0.5405405405405406,-2.1549149705960584,-8.568924593027223,29.382703975021133
0.5605605605605606,-3.298162788893607,-8.356211804162216,28.3088393811402
0.5805805805805806,-4.199117619477151,-8.200565997833317,27.446809068151197
0.6006006006006006,-4.915894152304761,-8.120983037754163,26.74798352855693
0.6206206206206206,-5.495723180662533,-8.119798368531566,26.18353558054733
0.6406406406406406,-5.977253004036531,-8.192332521247533,25.73571703210656
0.6606606606606606,-6.390569096547609,-8.32963117824367,25.394757220677032
0.6806806806806807,-6.758997462333667,-8.520510623367787,25.155353748902943
0.7007007007007007,-7.099518113082132,-8.752650023845016,25.01472194155317
0.7207207207207207,-7.423685934408973,-9.012563819221441,24.97195992563543
0.7407407407407407,-7.737354166392592,-9.285437985909335,25.026011874939794
0.7607607607607607,-8.043495751014731,-9.555594890455469,25.174256108807214
0.7807807807807807,-8.34187539768396,-9.806548435750807,25.412246421119985
0.8008008008008007,-8.629321215285884,-10.021864537628028,25.731256743102414
0.8208208208208209,-8.898767859445032,-10.184334372427697,26.12006852103708
0.8408408408408409,-9.14292169077085,-10.280349816551551,26.56272951902919
0.8608608608608609,-9.352969824585035,-10.298806369848446,27.038691670305923
0.8808808808808809,-9.519149260191098,-10.231497966826916,27.524351558286646
0.9009009009009009,-9.63547118898578,-10.077641646723775,27.993732637001315
0.9209209209209209,-9.694918748186414,-9.83960724961787,28.41831345546002
0.9409409409409409,-9.694725404170892,-9.529639952188989,28.77618137474988
0.960960960960961,-9.633461597139847,-9.16554844760773,29.04509149420125
0.980980980980981,-9.513596051676325,-8.767146696502667,29.21171356699824
1.001001001001001,-9.341206917239116,-8.357548045783787,29.270197603070756
1.021021021021021,-9.125556896004639,-7.961798372126218,29.21904824947289
1.0410410410410411,-8.879673117156663,-7.598498840588913,29.065022104449245
1.0610610610610611,-8.616829840317868,-7.282807055578377,28.82226056889462
