t,x(t),y(t),dx(t),dy(t)
0.0,-0.1,0.3,-0.09999999999999999,2.7755575615628914e-17
0.10101010101010101,-0.1098625836253041,0.30074041320924155,-0.09543891479196873,0.014423668833335374
0.20202020202020202,-0.11932421264213747,0.3028466810664386,-0.09176123421215056,0.027562978429986923
0.30303030303030304,-0.12847105894214425,0.3061948032084261,-0.08886187213314094,0.0396091868090033
0.40404040404040403,-0.1373597211534541,0.3107128420233795,-0.0866765604349627,0.05068316071849141
0.5050505050505051,-0.14604688637847774,0.316329802681703,-0.08514145815161264,0.060905428226865094
0.6060606060606061,-0.15458941155619205,0.3229754928547126,-0.08419304064926028,0.07039637090693177
0.7070707070707071,-0.16304432346214012,0.3305805227146362,-0.08376809962624805,0.07927622383589206
0.8080808080808081,-0.17146881870843125,0.3390763049346137,-0.08380374311309123,0.08766507559534004
0.9090909090909091,-0.17992026374374087,0.34839505468869675,-0.08423739547247794,0.0956828682712629
1.0101010101010102,-0.1884553185904934,0.3584713238306517,-0.08500800262007917,0.10344731597041423
1.1111111111111112,-0.19710156395997888,0.3692914865447833,-0.0860949612924022,0.11100660266757667
1.2121212121212122,-0.20587723231721677,0.3808590787313095,-0.08749092320704635,0.11838630911017042
1.3131313131313131,-0.21480703925100664,0.39316772241364967,-0.08918034158132152,0.12562669766968512
1.4141414141414141,-0.22391624937909935,0.4062116091350515,-0.09114767987797608,0.13276856950112326
1.5151515151515151,-0.2332306763481972,0.419985499958591,-0.09337741180519692,0.1398532645430003
1.6161616161616161,-0.24277668283395376,0.43448472546717287,-0.09585402131660956,0.14692266151734423
1.7171717171717171,-0.252581180540974,0.4497051857635299,-0.09856200261127795,0.15401917792969605
1.8181818181818181,-0.26267163020281414,0.4656433504702234,-0.10148586013370464,0.1611857700691095
1.9191919191919191,-0.2730759389074952,0.48229649367597344,-0.10461027738423911,0.16846566152325607
2.0202020202020203,-0.28381657180859854,0.4996737617831886,-0.10792859498729504,0.1758879768213035
2.121212121212121,-0.2949083764454969,0.5177982095572357,-0.11144491655586938,0.18346345988962748
2.2222222222222223,-0.3063669098526679,0.5366933624414788,-0.11516322629440545,0.19120368355826245
2.323232323232323,-0.3182090324501475,0.5563827324181276,-0.11908684998399008,0.19912218246615743
2.4242424242424243,-0.3304529080435304,0.5768898180082372,-0.12321845498235343,0.207234453061177
2.525252525252525,-0.34311800382396984,0.5982381042717081,-0.12756005022386913,0.21555795360010072
2.6262626262626263,-0.35622509036817757,0.6204510628072863,-0.1321129862195544,0.22411210414862315
2.727272727272727,-0.3697962416384239,0.6435521517525629,-0.13687795505706948,0.23291828658135438
2.8282828282828283,-0.383854834982538,0.6675648157839751,-0.14185499040071856,0.24199984458181945
2.929292929292929,-0.3984255511339071,0.6925124861168046,-0.14704346749144875,0.2513820836424584
3.0303030303030303,-0.41353437421147754,0.7184185805051797,-0.15244210314685108,0.2610922710646264
3.131313131313131,-0.4292085544612528,0.7453066050520478,-0.15804902529539752,0.2711595291658553
3.2323232323232323,-0.4454706693406486,0.7732137674386244,-0.16387154904898787,0.2815991202916608
3.3333333333333335,-0.4623388125318391,0.8021852385928863,-0.16992321303052357,0.29241559950131557
3.4343434343434343,-0.47983365719702736,0.8322625958903894,-0.17621446934668103,0.3036191878503463
3.5353535353535355,-0.4979773441951182,0.8634886705070761,-0.18275566315597896,0.31522168103913917
3.6363636363636362,-0.5167934820817175,0.8959075474192744,-0.18955703266877844,0.32723644941293906
3.7373737373737375,-0.5363071471091331,0.9295645654036989,-0.19662870914728292,0.3396784379618501
3.8383838383838382,-0.5565448832263739,0.9645063170374498,-0.20398071690553798,0.3525641663208358
3.9393939393939394,-0.5775347020791507,1.0007806486980144,-0.21162297330943186,0.3659117287697188
4.040404040404041,-0.5993060830098754,1.0384366605632651,-0.21956528877669484,0.37974079423318063
4.141414141414141,-0.6218899730576614,1.0775247066114606,-0.22781736677689962,0.3940726062807617
4.242424242424242,-0.6453187869583239,1.1180963946212468,-0.23638880383146144,0.40892998312686246
4.343434343434343,-0.6696264071443796,1.1602045861716546,-0.24528908951363748,0.4243373176307421
4.444444444444445,-0.6948481837450462,1.2039033966421016,-0.2545276064485277,0.4403205772965185
4.545454545454545,-0.7210209345862428,1.2492481952123908,-0.264113630313074,0.45690730427316883
4.646464646464646,-0.7481829451905913,1.296295604862713,-0.2740563298360609,0.47412661535453027
4.747474747474747,-0.7763739687774133,1.3451035023736435,-0.2843647667981151,0.4920092019792981
4.848484848484849,-0.8056358005946485,1.3957355219281735,-0.29504986066676253,0.5105859399278859
4.94949494949495,-0.8360100299928515,1.44827448222586,-0.30613222611650426,0.5298778038763471
5.05050505050505,-0.8675333056687434,1.502792054187909,-0.31762937425958276,0.5499039314091606
5.151515151515151,-0.9002442429117988,1.559361409882662,-0.3295585834854316,0.5706856594263672
5.252525252525253,-0.9341839825025628,1.6180593670053325,-0.3419376922513848,0.592246290251178
5.353535353535354,-0.9693961907126524,1.6789663888780066,-0.35478509908267714,0.6146110916299752
5.454545454545454,-1.0059270593047551,1.7421665844496428,-0.36811976257244383,0.6378072967323113
5.555555555555555,-1.0438253055326316,1.807747708296073,-0.3819612013817206,0.661864104150911
5.656565656565657,-1.0831421721411127,1.8758011606199998,-0.3963294942394435,0.6868126779016693
5.757575757575758,-1.123931427366101,1.946421987251,-0.4112452799424495,0.7126861474236514
5.858585858585858,-1.16624936493457,2.019708879645522,-0.4267297573554759,0.739519607579094
5.959595959595959,-1.210154804064566,2.095764174886887,-0.4428046854111606,0.7673501186534053
