t,x(t),y(t),dx(t),dy(t)
0.0,-0.1,0.3,-0.09999999999999999,0.05000000000000002
0.10101010101010101,-0.10999015030025468,0.3059207871396684,-0.09796531841970688,0.06701990703067515
0.20202020202020202,-0.11983544768873486,0.3134734190045417,-0.09681898565790341,0.08293418587519888
0.30303030303030304,-0.1296226583979763,0.32255368918660343,-0.09646551539431357,0.09796847220265087
0.40404040404040403,-0.1394094015318601,0.3331188488125555,-0.0968547236403477,0.11225937865744245
0.5050505050505051,-0.14925527148628873,0.3451265075732839,-0.09793561804349758,0.1259472891859355
0.6060606060606061,-0.15922191538886338,0.3585344814138244,-0.0996562830124805,0.13917659007081457
0.7070707070707071,-0.16937303309888407,0.3733007925333625,-0.10196387971723922,0.1520956699310869
0.8080808080808081,-0.17977437720734954,0.3893836693852337,-0.10480464608894209,0.16485691972208222
0.9090909090909091,-0.19049375303695734,0.40674154667692314,-0.1081238968199829,0.17761673273545311
1.0101010101010102,-0.20159685347862352,0.4253417391572799,-0.11187244283932819,0.1905228373786071
1.1111111111111112,-0.21311398420865654,0.44522855048044535,-0.1160572831358944,0.2036136931770904
1.2121212121212122,-0.225078416435309,0.4664438480876918,-0.1206827158261914,0.21693490882677208
1.3131313131313131,-0.23752912784617797,0.4890242612965192,-0.12574756672517062,0.23054612504409633
1.4141414141414141,-0.2505072683310961,0.5130087503567422,-0.13125074101282305,0.2445101614838211
1.5151515151515151,-0.2640561599821316,0.53843860645049,-0.1371912232341792,0.2588930167390182
1.6161616161616161,-0.27822129709358834,0.5653574516922066,-0.14356807729930915,0.27376386834107336
1.7171717171717171,-0.29305034616200576,0.59381123912865,-0.1503804464833221,0.28919507275968653
1.8181818181818181,-0.3085931458861588,0.6238482527388933,-0.15762755342636725,0.305262165402871
1.9191919191919191,-0.3249011430521407,0.6555221246351961,-0.1653104907915277,0.3220412237866833
2.0202020202020203,-0.3420190067320346,0.6889106860723252,-0.1734458396701453,0.33958267042790663
2.121212121212121,-0.3599873231801166,0.7241009326413875,-0.18205680473063546,0.35792418003953946
2.2222222222222223,-0.3788501463927112,0.761183430350288,-0.1911666419787884,0.3771085776102784
2.323232323232323,-0.39865521034380014,0.800252754936089,-0.20079877229614446,0.39718404321955575
2.4242424242424243,-0.41945392898502337,0.8414074918650114,-0.21097678143999402,0.41820411203754104
2.525252525252525,-0.4413013962456783,0.8847502363324338,-0.22172442004337772,0.44022767432513976
2.6262626262626263,-0.46425638603272046,0.9303875932628931,-0.23306560361508633,0.46331897543399436
2.727272727272727,-0.4883813522307626,0.9784301773100841,-0.24502441253966073,0.4875476158064832
2.8282828282828283,-0.5137424287020762,1.0289926128568596,-0.2576250920773917,0.5129885509757226
2.929292929292929,-0.5404094292865894,1.08219353401523,-0.2708920523643203,0.5397220915655638
3.0303030303030303,-0.568455847801889,1.1381555846263653,-0.2848498684122382,0.5678339032905952
3.131313131313131,-0.5979589130900473,1.1970061397533875,-0.2995236133316701,0.5974147563034009
3.2323232323232323,-0.6289981211974197,1.258908587665751,-0.3149552332341657,0.6285419485619639
3.3333333333333335,-0.6616464115807243,1.3240281235350475,-0.3311908559771616,0.6612787613939249
3.4343434343434343,-0.6959800638424354,1.3925268066457621,-0.34827337140166337,0.6956967243619897
3.5353535353535355,-0.732081793307555,1.4645778681533053,-0.36624803742287515,0.7318746525384573
3.6363636363636362,-0.770040751023613,1.5403657110840099,-0.38516248003019843,0.7698986465052211
3.7373737373737375,-0.8099525237606676,1.620085910335135,-0.4050666932872337,0.8098620923537677
3.8383838383838382,-0.8519191340113047,1.703945212674862,-0.42601303933177864,0.8518656616851784
3.9393939393939394,-0.8960490399906387,1.7921615367422978,-0.4480562483758296,0.8960173116101284
4.040404040404041,-0.9424571356363114,1.8849639730474728,-0.4712534187055807,0.9424322847488864
4.141414141414141,-0.9912647506084926,1.982592783971341,-0.49566401668142424,0.9912331092313147
4.242424242424242,-1.0425996502898813,2.0852994037657826,-0.5213498767379506,1.0425495986968714
4.343434343434343,-1.096596035785703,2.1933464385536006,-0.5483752013839488,1.0965188522946057
4.444444444444445,-1.1533945439237119,2.3070076663285213,-0.5768065612024047,1.1532852546831631
4.545454545454545,-1.2131422472541897,2.426568036955196,-0.6067128948505031,1.2130004760307815
4.646464646464646,-1.2759926540499476,2.5523236721692015,-0.638165509059627,1.2758234720152943
4.747474747474747,-1.342105708306323,2.684581865577037,-0.6712380786353569,1.3419204838241277
4.848484848484849,-1.411647789741182,2.823661082656127,-0.7060066464574724,1.4114650381543008
4.94949494949495,-1.4848025911529403,2.9699177027923667,-0.7425575558197132,1.4846463309096973
5.05050505050505,-1.5617880246683586,3.1238047909166333,-0.7810083831241373,1.5616736538784006
5.151515151515151,-1.6427767875825867,3.2856804149037666,-0.82145181366059,1.6427133677132901
5.252525252525253,-1.7279517738195722,3.4559200096153746,-0.8639841178979012,1.7279435428314571
5.353535353535354,-1.8175130369958465,3.6349321641969214,-0.9087095636005375,1.8175599918932324
5.454545454545454,-1.9116777904205247,3.823158622077725,-0.9557404158286003,1.9117762698021867
5.555555555555555,-2.010680407095306,4.021074280970964,-1.005196936937829,2.01082367370513
5.656565656565657,-2.114772419714473,4.229187192873666,-1.0572073865795966,2.1149512429921127
5.757575757575758,-2.22422252066489,4.448038564066717,-1.1119080217009136,2.2244257592964214
5.858585858585858,-2.3393165620260064,4.6782027551148575,-1.1694430965444256,2.339531746494584
5.959595959595959,-2.460357555569856,4.920287280866685,-1.2299648626484143,2.4605714707063697
