t,x,y,mannual_dxdt,manual_dydt
0.79,32,37,19.33962264,17.45283019
1.06,66,68,144.1176471,144.1176471
1.13,130,135,370.4545455,370.4545455
1.28,229,231,572.5,570
1.33,359,363,1627.777778,944.4444444
1.37,522,401,855.2631579,113.1578947
1.52,684,406,784.2105263,23.68421053
